"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"13/01/2025","1.265","1.265","1.280","1.245","28,55M","0,40%"
"10/01/2025","1.260","1.270","1.270","1.245","34,37M","-0,79%"
"09/01/2025","1.270","1.275","1.285","1.255","19,04M","-0,39%"
"08/01/2025","1.275","1.300","1.310","1.270","32,64M","-1,16%"
"07/01/2025","1.290","1.280","1.315","1.280","19,46M","0,78%"
"06/01/2025","1.280","1.330","1.340","1.280","22,17M","-3,40%"
"03/01/2025","1.325","1.345","1.360","1.315","25,50M","-1,12%"
"02/01/2025","1.340","1.370","1.375","1.340","14,75M","-1,47%"
"30/12/2024","1.360","1.360","1.390","1.340","43,20M","0,37%"
"27/12/2024","1.355","1.400","1.405","1.335","38,83M","-3,21%"
"24/12/2024","1.400","1.330","1.405","1.305","21,05M","5,26%"
"23/12/2024","1.330","1.280","1.330","1.265","44,24M","4,31%"
"20/12/2024","1.275","1.310","1.325","1.245","116,32M","-3,41%"
"19/12/2024","1.320","1.375","1.375","1.290","53,63M","-4,35%"
"18/12/2024","1.380","1.420","1.430","1.355","32,06M","-1,43%"
"17/12/2024","1.400","1.440","1.445","1.380","20,72M","-2,78%"
"16/12/2024","1.440","1.445","1.450","1.420","38,74M","-0,35%"
"13/12/2024","1.445","1.460","1.465","1.430","30,60M","-0,69%"
